Game,Genre,metascore,userscore,id
Blade & Soul,Massively Multiplayer Online,68.0,45.0,399
Blade Strangers,Action,75.0,75.0,400
Bladestorm: Nightmare,Action,58.0,62.0,401
Blaster Master Zero,Action,78.0,76.0,402
Blasters of the Universe,Action,76.0,74.0,403
BlazBlue: Central Fiction,Action,84.0,77.0,404
BlazBlue: Central Fiction - Special Edition,Action,85.0,83.0,405
BlazBlue: Chrono Phantasma Extend,Action,82.5,76.0,406
BlazBlue: Continuum Shift Extend,Action,83.0,75.0,407
BlazBlue: Continuum Shift II,Action,64.0,62.0,408
BlazBlue: Cross Tag Battle,Action,77.5,71.5,409
BlazeRush,Driving,66.0,82.0,410
Bleed,Action,75.0,74.0,411
Bleed 2,Action,80.33333333333333,71.0,412
Blind,Adventure,62.0,50.0,413
Blitzkrieg 3,Strategy,68.0,28.0,414
Block Factory,Miscellaneous,42.0,53.0,415
Block N Load,Modern,72.0,75.0,416
Blocks That Matter,Action,72.0,73.0,417
Blok Drop U,Miscellaneous,53.0,50.0,418
Blood Bowl 2,Sports,72.66666666666667,71.66666666666667,419
Blood of the Werewolf,Action,65.0,74.0,420
Bloodborne,Fantasy,92.0,89.0,421
Bloodborne: The Old Hunters,Role-Playing,87.0,90.0,422
Bloodline Champions,Action,79.0,77.0,423
Bloodsports.TV,Action,69.0,62.0,424
Bloodstained: Curse of the Moon,Action Adventure,79.5,79.5,425
Blossom Tales: The Sleeping King,Action Adventure,80.0,79.0,426
Blue Estate,Action,49.0,60.0,427
Blue Reflection,Role-Playing,66.0,69.0,428
Blues and Bullets - Episode 1: The End of Peace,Action Adventure,71.5,58.0,429
Blues and Bullets - Episode 2: Shaking The Hive,Action Adventure,74.0,45.0,430
Bohemian Killing,Adventure,55.0,59.0,431
Bomb Chicken,Action,77.0,79.0,432
Bomber Crew,Simulation,74.66666666666667,68.0,433
Bombshell (2016),Role-Playing,43.0,38.0,434
Bombslinger,Puzzle,76.0,65.0,435
Book of Demons,Adventure,73.0,81.0,436
Borderlands 2,Action,76.5,79.5,437
Borderlands 2 VR,Action,72.0,76.0,438
Borderlands 2: Captain Scarlett and Her Pirate's Booty,Action,80.0,74.0,439
Borderlands 2: Mr. Torgue's Campaign of Carnage,Action,82.0,74.0,440
Borderlands 2: Sir Hammerlock's Big Game Hunt,Action,75.0,61.0,441
Borderlands: The Handsome Collection,Miscellaneous,81.0,78.5,442
Borderlands: The Pre-Sequel,Action,75.0,63.0,443
Botanicula,Adventure,82.0,83.0,444
Bound,Action,71.0,71.0,445
Bound by Flame,Action RPG,54.5,63.0,446
BoxBoxBoy!,Puzzle,80.0,79.0,447
Brain Age: Concentration Training,Edutainment,69.0,78.0,448
Bravely Default,Console-style RPG,85.0,85.0,449
Bravely Second: End Layer,Role-Playing,81.0,83.0,450
Bravo Team,Action,45.0,44.0,451
Brawlout,Action,62.5,62.0,452
Breach & Clear: Deadline,Strategy,62.0,68.0,453
Breach (2011),Action,61.0,58.0,454
Breached,Adventure,54.0,70.0,455
Bridge Constructor,Simulation,62.0,66.0,456
Bridge Constructor Portal,Simulation,76.0,57.25,457
Brigador,Action,70.0,76.0,458
Brink,Action,70.0,60.0,459
Broforce,Platformer,75.5,73.0,460
Broken Age,Third-Person,78.5,71.0,461
Broken Age: Act 1,General,82.0,77.0,462
Broken Age: Act 2,Adventure,73.0,63.0,463
Broken Sword 5 - The Serpent's Curse,Adventure,74.0,73.0,464
Broken Sword 5: The Serpent's Curse,Adventure,74.5,71.5,465
Broken Sword 5: The Serpents' Curse - Part I,General,69.0,80.0,466
Broken Sword 5: The Serpents' Curse - Part II,Adventure,72.0,76.0,467
Brothers: A Tale of Two Sons,Action Adventure,85.5,82.0,468
Brut@l,Action Adventure,67.0,59.0,469
Brutal Legend,Action,80.0,78.0,470
Bubsy: The Woolies Strike Back,Action,44.5,51.0,471
Bugs vs. Tanks!,Action,50.0,70.0,472
Bulb Boy,Adventure,75.0,75.0,473
Bullet Witch,Action,51.0,52.0,474
Bulletstorm,General,82.0,77.0,475
Bulletstorm: Full Clip Edition,Action,77.66666666666667,70.33333333333333,476
Burly Men At Sea,Adventure,72.0,53.0,477
Burnout Paradise Remastered,Racing,80.5,66.0,478
"Bury Me, My Love",Adventure,80.0,53.0,479
"Bury me, my Love",Adventure,75.0,52.0,480
Bus Simulator 16,Simulation,46.0,60.0,481
Bus Simulator 18,Simulation,67.0,66.0,482
Bush Hockey League,Sports,52.0,43.5,483
Bust-A-Move Universe,Puzzle,49.0,48.0,484
Buzz Aldrin's Space Program Manager,Adventure,62.0,66.0,485
CALENDULA,Adventure,67.0,74.0,486
CAPSIZED,Action,80.0,72.0,487
CHUCHEL,Adventure,81.0,60.0,488
CONSORTIUM,Sci-Fi,66.0,76.0,489
CRUSH3D,Action,71.0,74.0,490
Californium,Adventure,64.0,60.0,491
Call of Cthulhu,Role-Playing,65.33333333333333,67.0,492
Call of Duty: Advanced Warfare,Action,80.66666666666667,52.666666666666664,493
Call of Duty: Advanced Warfare - Ascendance,Action,75.0,66.0,494
Call of Duty: Advanced Warfare - Havoc,Action,72.0,67.0,495
